model,epoch,train_loss,train_accuracy,val_balanced_accuracy,val_melanoma_sensitivity,timestamp
deit_tiny,1,1.9098087288439274,0.41015625,0.23227513227513225,0.0,2026-04-18T21:10:14+00:00
deit_small,1,1.8782162964344025,0.3671875,0.18379281537176273,0.8421052631578947,2026-04-18T21:12:49+00:00
deit_tiny,1,1.8740523755550385,0.3828125,0.1565217391304348,0.0,2026-04-18T21:41:21+00:00
deit_small,1,1.9242660701274872,0.2421875,0.2,0.0,2026-04-18T21:41:40+00:00
