model,criterion,layer_type,sparsity,balanced_accuracy,balanced_accuracy_drop,mel_sensitivity,bcc_sensitivity,akiec_sensitivity,nv_sensitivity,bkl_sensitivity,df_sensitivity,vasc_sensitivity,masked_params,timestamp
deit_small,wanda,qkv,0.5,0.19925193319363926,0.004396586536681402,0.6816143497757847,0.009708737864077669,0.0,0.11707680835197613,0.5863636363636363,0.0,0.0,5308416,2026-04-18T21:24:41+00:00
deit_small,wanda,attn_out,0.5,0.205018010964412,-0.0013694912340913301,0.7085201793721974,0.009708737864077669,0.0,0.17598806860551827,0.5409090909090909,0.0,0.0,1769472,2026-04-18T21:26:01+00:00
deit_small,wanda,mlp,0.5,0.19550254055024271,0.00814597918007795,0.5426008968609866,0.0,0.0,0.18046234153616703,0.6454545454545455,0.0,0.0,14155776,2026-04-18T21:27:25+00:00
deit_small,wanda,patch_embed,0.5,0.20364851973032067,0.0,0.6995515695067265,0.0,0.0,0.17598806860551827,0.55,0.0,0.0,0,2026-04-18T21:28:46+00:00
deit_small,magnitude,qkv,0.5,0.19966254907266734,0.003985970657653326,0.5426008968609866,0.0,0.0,0.15958240119313946,0.6954545454545454,0.0,0.0,5308416,2026-04-18T21:30:07+00:00
deit_small,magnitude,mlp,0.5,0.23886698685356406,-0.06398433780984117,0.0,0.0,0.4153846153846154,0.7703206562266965,0.4863636363636364,0.0,0.0,14155776,2026-04-18T21:44:43+00:00
