model,criterion,sparsity,overall_acc,balanced_acc,mel_sensitivity,bcc_sensitivity,akiec_sensitivity,nv_sensitivity,bkl_sensitivity,df_sensitivity,vasc_sensitivity,nonzero_params,size_kb,timestamp,dense_overall_acc,dense_balanced_acc,dense_mel_sensitivity,melanoma_sensitivity_drop,balanced_accuracy_drop
deit_tiny,taylor,0.2,0.6015625,0.2133156966490299,0.0,0.0,0.2,0.8765432098765432,0.4166666666666667,0.0,0.0,4246733,17437.828125,2026-04-18T21:18:12+00:00,0.640625,0.2322751322751322,0.0,0.0,0.018959435626102278
deit_tiny,taylor,0.2,0.6015625,0.2133156966490299,0.0,0.0,0.2,0.8765432098765432,0.4166666666666667,0.0,0.0,4246733,17437.828125,2026-04-18T21:18:12+00:00,0.5625,0.1565217391304348,0.0,0.0,-0.05679395751859512
deit_tiny,taylor,0.4,0.5625,0.177689594356261,0.0,0.0,0.0,0.8271604938271605,0.4166666666666667,0.0,0.0,3185050,13290.62890625,2026-04-18T21:18:15+00:00,0.640625,0.2322751322751322,0.0,0.0,0.05458553791887119
deit_tiny,taylor,0.4,0.5625,0.177689594356261,0.0,0.0,0.0,0.8271604938271605,0.4166666666666667,0.0,0.0,3185050,13290.62890625,2026-04-18T21:18:15+00:00,0.5625,0.1565217391304348,0.0,0.0,-0.021167855225826204
deit_tiny,taylor,0.5,0.484375,0.1499118165784832,0.0,0.0,0.0,0.7160493827160493,0.3333333333333333,0.0,0.0,2654208,11217.02734375,2026-04-18T21:18:18+00:00,0.640625,0.2322751322751322,0.0,0.0,0.08236331569664898
deit_tiny,taylor,0.5,0.484375,0.1499118165784832,0.0,0.0,0.0,0.7160493827160493,0.3333333333333333,0.0,0.0,2654208,11217.02734375,2026-04-18T21:18:18+00:00,0.5625,0.1565217391304348,0.0,0.0,0.006609922551951586
deit_tiny,taylor,0.6,0.3203125,0.1561774807388842,0.2105263157894736,0.0,0.0,0.382716049382716,0.5,0.0,0.0,2123366,9143.42578125,2026-04-18T21:18:21+00:00,0.640625,0.2322751322751322,0.0,-0.2105263157894736,0.07609765153624798
deit_tiny,taylor,0.6,0.3203125,0.1561774807388842,0.2105263157894736,0.0,0.0,0.382716049382716,0.5,0.0,0.0,2123366,9143.42578125,2026-04-18T21:18:21+00:00,0.5625,0.1565217391304348,0.0,-0.2105263157894736,0.0003442583915505837
deit_tiny,taylor,0.7,0.15625,0.1098115659519168,0.0526315789473684,0.2222222222222222,0.0,0.1604938271604938,0.3333333333333333,0.0,0.0,1592525,7069.828125,2026-04-18T21:18:24+00:00,0.640625,0.2322751322751322,0.0,-0.0526315789473684,0.1224635663232154
deit_tiny,taylor,0.7,0.15625,0.1098115659519168,0.0526315789473684,0.2222222222222222,0.0,0.1604938271604938,0.3333333333333333,0.0,0.0,1592525,7069.828125,2026-04-18T21:18:24+00:00,0.5625,0.1565217391304348,0.0,-0.0526315789473684,0.046710173178518
deit_tiny,random,0.2,0.140625,0.1534391534391534,0.0,0.0,0.0,0.074074074074074,1.0,0.0,0.0,4246733,17437.828125,2026-04-18T21:18:28+00:00,0.640625,0.2322751322751322,0.0,0.0,0.07883597883597879
deit_tiny,random,0.2,0.140625,0.1534391534391534,0.0,0.0,0.0,0.074074074074074,1.0,0.0,0.0,4246733,17437.828125,2026-04-18T21:18:28+00:00,0.5625,0.1565217391304348,0.0,0.0,0.003082585691281392
deit_tiny,random,0.4,0.078125,0.0768356075373619,0.2631578947368421,0.0,0.0,0.0246913580246913,0.25,0.0,0.0,3185050,13290.62890625,2026-04-18T21:18:31+00:00,0.640625,0.2322751322751322,0.0,-0.2631578947368421,0.15543952473777028
deit_tiny,random,0.4,0.078125,0.0768356075373619,0.2631578947368421,0.0,0.0,0.0246913580246913,0.25,0.0,0.0,3185050,13290.62890625,2026-04-18T21:18:31+00:00,0.5625,0.1565217391304348,0.0,-0.2631578947368421,0.07968613159307289
deit_tiny,random,0.5,0.078125,0.1102756892230576,0.1052631578947368,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,2654208,11217.02734375,2026-04-18T21:18:35+00:00,0.640625,0.2322751322751322,0.0,-0.1052631578947368,0.1219994430520746
