model,layer_name,sensitivity_drop,allocated_sparsity,param_count,timestamp
deit_small,blocks.0.attn.qkv,-0.0013982875435911701,0.7058823529411764,442368,2026-04-19T04:29:23+00:00
deit_small,blocks.0.attn.proj,0.005497238655513326,0.3025210084033613,147456,2026-04-19T04:29:23+00:00
deit_small,blocks.0.mlp.fc1,0.0012975451092364088,0.3025210084033613,589824,2026-04-19T04:29:23+00:00
deit_small,blocks.0.mlp.fc2,0.007791516982632696,0.3025210084033613,589824,2026-04-19T04:29:23+00:00
deit_small,blocks.1.attn.qkv,-0.0036146357496464887,0.7058823529411764,442368,2026-04-19T04:29:23+00:00
deit_small,blocks.1.attn.proj,-0.002421031615662761,0.7058823529411764,147456,2026-04-19T04:29:23+00:00
deit_small,blocks.1.mlp.fc1,8.790280048776022e-05,0.5042016806722689,589824,2026-04-19T04:29:23+00:00
deit_small,blocks.1.mlp.fc2,0.0027867417718934195,0.3025210084033613,589824,2026-04-19T04:29:23+00:00
deit_small,blocks.2.attn.qkv,0.000683613280866191,0.5042016806722689,442368,2026-04-19T04:29:23+00:00
deit_small,blocks.2.attn.proj,-0.0015498846916067732,0.7058823529411764,147456,2026-04-19T04:29:23+00:00
deit_small,blocks.2.mlp.fc1,-0.003016579765910299,0.7058823529411764,589824,2026-04-19T04:29:23+00:00
deit_small,blocks.2.mlp.fc2,-0.001450656899538938,0.7058823529411764,589824,2026-04-19T04:29:23+00:00
deit_small,blocks.3.attn.qkv,-0.003986156745390934,0.7058823529411764,442368,2026-04-19T04:29:23+00:00
deit_small,blocks.3.attn.proj,-0.003293611682873454,0.7058823529411764,147456,2026-04-19T04:29:23+00:00
deit_small,blocks.3.mlp.fc1,0.0005689827205460629,0.5042016806722689,589824,2026-04-19T04:29:23+00:00
deit_small,blocks.3.mlp.fc2,0.0015385597000264761,0.3025210084033613,589824,2026-04-19T04:29:23+00:00
deit_small,blocks.4.attn.qkv,-0.004306545405651563,0.7058823529411764,442368,2026-04-19T04:29:23+00:00
deit_small,blocks.4.attn.proj,0.0038644445325327625,0.3025210084033613,147456,2026-04-19T04:29:23+00:00
deit_small,blocks.4.mlp.fc1,-0.0026347276379199425,0.7058823529411764,589824,2026-04-19T04:29:23+00:00
deit_small,blocks.4.mlp.fc2,-0.0011296328327659033,0.7058823529411764,589824,2026-04-19T04:29:23+00:00
deit_small,blocks.5.attn.qkv,0.0004697549284781166,0.5042016806722689,442368,2026-04-19T04:29:23+00:00
deit_small,blocks.5.attn.proj,0.0022327002358299985,0.3025210084033613,147456,2026-04-19T04:29:23+00:00
deit_small,blocks.5.mlp.fc1,0.004554504059424591,0.3025210084033613,589824,2026-04-19T04:29:23+00:00
deit_small,blocks.5.mlp.fc2,-0.0002686547108252668,0.7058823529411764,589824,2026-04-19T04:29:23+00:00
deit_small,blocks.6.attn.qkv,0.007932797035892891,0.3025210084033613,442368,2026-04-19T04:29:23+00:00
deit_small,blocks.6.attn.proj,0.0006856818305337464,0.5042016806722689,147456,2026-04-19T04:29:23+00:00
deit_small,blocks.6.mlp.fc1,0.000862411265095675,0.5042016806722689,589824,2026-04-19T04:29:23+00:00
deit_small,blocks.6.mlp.fc2,0.0060622467303349525,0.3025210084033613,589824,2026-04-19T04:29:23+00:00
deit_small,blocks.7.attn.qkv,0.0012364400943286613,0.3025210084033613,442368,2026-04-19T04:29:23+00:00
deit_small,blocks.7.attn.proj,-0.0014492237563837884,0.7058823529411764,147456,2026-04-19T04:29:23+00:00
deit_small,blocks.7.mlp.fc1,0.0007995146542110199,0.5042016806722689,589824,2026-04-19T04:29:23+00:00
deit_small,blocks.7.mlp.fc2,0.0014942905965266151,0.3025210084033613,589824,2026-04-19T04:29:23+00:00
deit_small,blocks.8.attn.qkv,0.00100383961099626,0.3025210084033613,442368,2026-04-19T04:29:23+00:00
deit_small,blocks.8.attn.proj,0.0008536756061358064,0.5042016806722689,147456,2026-04-19T04:29:23+00:00
deit_small,blocks.8.mlp.fc1,0.005242671425583989,0.3025210084033613,589824,2026-04-19T04:29:23+00:00
deit_small,blocks.8.mlp.fc2,0.00031085526465768343,0.5042016806722689,589824,2026-04-19T04:29:23+00:00
deit_small,blocks.9.attn.qkv,0.000747145298263252,0.5042016806722689,442368,2026-04-19T04:29:23+00:00
deit_small,blocks.9.attn.proj,0.0011732665297535805,0.3025210084033613,147456,2026-04-19T04:29:23+00:00
deit_small,blocks.9.mlp.fc1,-0.0005340846825183654,0.7058823529411764,589824,2026-04-19T04:29:23+00:00
deit_small,blocks.9.mlp.fc2,-0.0002144937589005913,0.7058823529411764,589824,2026-04-19T04:29:23+00:00
deit_small,blocks.10.attn.qkv,0.0003195909236177741,0.5042016806722689,442368,2026-04-19T04:29:23+00:00
deit_small,blocks.10.attn.proj,0.00010653030787255435,0.5042016806722689,147456,2026-04-19T04:29:23+00:00
deit_small,blocks.10.mlp.fc1,-0.000115265966832645,0.5042016806722689,589824,2026-04-19T04:29:23+00:00
deit_small,blocks.10.mlp.fc2,0.0006406149903906977,0.5042016806722689,589824,2026-04-19T04:29:23+00:00
deit_small,blocks.11.attn.qkv,0.0012812299807815064,0.3025210084033613,442368,2026-04-19T04:29:23+00:00
deit_small,blocks.11.attn.proj,-0.0009165722170206836,0.7058823529411764,147456,2026-04-19T04:29:23+00:00
deit_small,blocks.11.mlp.fc1,0.0006406149903906977,0.5042016806722689,589824,2026-04-19T04:29:23+00:00
deit_small,blocks.11.mlp.fc2,0.0,0.5042016806722689,589824,2026-04-19T04:29:23+00:00
