model_config,criterion,balanced_accuracy,mel_sensitivity,bcc_sensitivity,akiec_sensitivity,nv_sensitivity,bkl_sensitivity,df_sensitivity,vasc_sensitivity,size_kb,latency_ms,timestamp
dense,none,0.8624432432029281,0.7533632286995515,0.9029126213592233,0.7384615384615385,0.930648769574944,0.7909090909090909,0.9565217391304348,0.9642857142857143,84698.1943359375,22.269150002102833,2026-04-19T04:36:53+00:00
quantized_only,none,0.8616092697945105,0.7533632286995515,0.8932038834951457,0.7384615384615385,0.9254287844891872,0.8,0.9565217391304348,0.9642857142857143,22516.8857421875,15.716150002845097,2026-04-19T04:36:53+00:00
pruned_only,wanda,0.6846287368903751,0.4439461883408072,0.44660194174757284,0.6461538461538462,0.9582401193139448,0.5272727272727272,0.9130434782608695,0.8571428571428571,43170.02734375,21.942249997664476,2026-04-19T04:36:53+00:00
pruned_plus_quantized,wanda,0.6661763641954935,0.4349775784753363,0.44660194174757284,0.6461538461538462,0.9574944071588367,0.5227272727272727,0.8695652173913043,0.7857142857142857,22516.8857421875,15.897199999017175,2026-04-19T04:36:53+00:00
pruned_only,magnitude,0.8133089231725933,0.6367713004484304,0.8349514563106796,0.8153846153846154,0.935868754660701,0.7,0.9130434782608695,0.8571428571428571,43170.02734375,22.29570000054082,2026-04-19T04:36:53+00:00
pruned_plus_quantized,magnitude,0.8044025458020544,0.6322869955156951,0.8349514563106796,0.8153846153846154,0.9351230425055929,0.6863636363636364,0.8695652173913043,0.8571428571428571,22516.8857421875,15.864650002185954,2026-04-19T04:36:53+00:00
