calibration_size,overall_acc,balanced_acc,mel_sensitivity,bcc_sensitivity,akiec_sensitivity,nv_sensitivity,bkl_sensitivity,df_sensitivity,vasc_sensitivity
16,0.8132800798801797,0.6733475292682929,0.45739910313901344,0.5145631067961165,0.6307692307692307,0.9567486950037286,0.4909090909090909,0.9130434782608695,0.75
32,0.8067898152770844,0.6640106339514613,0.4170403587443946,0.46601941747572817,0.6307692307692307,0.9530201342281879,0.5181818181818182,0.9130434782608695,0.75
64,0.8112830753869196,0.6685238975238273,0.43946188340807174,0.4368932038834951,0.6615384615384615,0.9560029828486204,0.5227272727272727,0.9130434782608695,0.75
128,0.8152770843734398,0.6759181481176056,0.4439461883408072,0.4563106796116505,0.6461538461538462,0.9589858314690529,0.5272727272727272,0.9130434782608695,0.7857142857142857
256,0.8162755866200699,0.6870043432130725,0.4484304932735426,0.44660194174757284,0.6461538461538462,0.9567486950037286,0.5409090909090909,0.9130434782608695,0.8571428571428571
512,0.817773339990015,0.6931067780379961,0.4663677130044843,0.46601941747572817,0.6461538461538462,0.9530201342281879,0.55,0.9130434782608695,0.8571428571428571
