variant,pruned,balanced_accuracy,mel_sensitivity,bcc_sensitivity,akiec_sensitivity,nv_sensitivity,bkl_sensitivity,df_sensitivity,vasc_sensitivity,timestamp
direct,no,0.8404739474050077,0.757847533632287,0.912621359223301,0.8769230769230769,0.8799403430275914,0.7090909090909091,0.782608695652174,0.9642857142857143,2026-04-19T06:33:03+00:00
direct,yes,0.6137267338194959,0.5560538116591929,0.3786407766990291,0.7230769230769231,0.8829231916480239,0.34545454545454546,0.6956521739130435,0.7142857142857143,2026-04-19T06:33:40+00:00
distilled,no,0.8606101549614761,0.7443946188340808,0.883495145631068,0.7846153846153846,0.8948545861297539,0.8318181818181818,0.9565217391304348,0.9285714285714286,2026-04-19T06:34:04+00:00
distilled,yes,0.5407775157374366,0.4125560538116592,0.34951456310679613,0.49230769230769234,0.9373601789709173,0.2909090909090909,0.6956521739130435,0.6071428571428571,2026-04-19T06:34:41+00:00
imagenet_only,no,0.1744953759452564,0.04932735426008968,0.019417475728155338,0.47692307692307695,0.0014914243102162564,0.10909090909090909,0.5652173913043478,0.0,2026-04-19T06:35:04+00:00
imagenet_only,yes,0.14753705112519427,0.04484304932735426,0.9514563106796117,0.0,0.0007457121551081282,0.0,0.0,0.03571428571428571,2026-04-19T06:35:41+00:00
