model,criterion,sparsity,overall_acc,balanced_acc,mel_sensitivity,bcc_sensitivity,akiec_sensitivity,nv_sensitivity,bkl_sensitivity,df_sensitivity,vasc_sensitivity,size_kb,timestamp
mobilenetv2,none,0.0,0.8422366450324513,0.8376791105737377,0.6860986547085202,0.9223300970873787,0.8923076923076924,0.8791946308724832,0.7136363636363636,0.9130434782608695,0.8571428571428571,8957.8857421875,
mobilenetv2,magnitude,0.5,0.5416874687968047,0.49863174513058983,0.1210762331838565,0.7766990291262136,0.6615384615384615,0.5376584638329605,0.9136363636363637,0.08695652173913043,0.39285714285714285,4578.60546875,
mobilenetv2,wanda,0.5,0.24663005491762358,0.17041798618979828,0.0,0.0,0.0,0.20656226696495153,0.9863636363636363,0.0,0.0,4578.60546875,
