Model,Criterion,Sparsity,Recovery epochs,LR,Balanced Acc,Mel Sens,DCR,n
deit_tiny,SparseGPT (diag-OBS),50%,10,—,0.197 ± 0.008,0.138 ± 0.030,0.97 ± 0.09,6
deit_tiny,SparseGPT (diag-OBS),50%,20,—,0.197 ± 0.008,0.138 ± 0.030,0.97 ± 0.09,6
deit_tiny,SparseGPT (diag-OBS),70%,5,—,0.143 ± 0.000,1.000 ± 0.000,0.66 ± 0.00,6
deit_tiny,SparseGPT (diag-OBS),70%,10,—,0.143 ± 0.000,1.000 ± 0.000,0.66 ± 0.00,5
deit_tiny,SparseGPT (diag-OBS),70%,20,—,0.143 ± 0.000,1.000 ± 0.000,0.66 ± 0.00,3
deit_tiny,Taylor,50%,5,—,0.569 ± 0.034,0.652 ± 0.076,0.95 ± 0.36,6
deit_tiny,Taylor,50%,10,—,0.569 ± 0.034,0.652 ± 0.076,0.95 ± 0.36,6
deit_tiny,Taylor,50%,20,—,0.569 ± 0.034,0.652 ± 0.076,0.95 ± 0.36,6
deit_tiny,Taylor,70%,5,—,0.219 ± 0.018,0.211 ± 0.104,1.24 ± 0.10,6
deit_tiny,Taylor,70%,10,—,0.219 ± 0.018,0.211 ± 0.104,1.24 ± 0.10,6
deit_tiny,Taylor,70%,20,—,0.219 ± 0.018,0.211 ± 0.104,1.24 ± 0.10,6
deit_tiny,Wanda,50%,5,—,0.337 ± 0.012,0.940 ± 0.020,0.70 ± 0.01,6
deit_tiny,Wanda,50%,10,—,0.337 ± 0.012,0.940 ± 0.020,0.70 ± 0.01,6
deit_tiny,Wanda,50%,20,—,0.337 ± 0.012,0.940 ± 0.020,0.70 ± 0.01,6
deit_tiny,Wanda,70%,5,—,0.143 ± 0.000,1.000 ± 0.000,0.66 ± 0.00,6
deit_tiny,Wanda,70%,10,—,0.143 ± 0.000,1.000 ± 0.000,0.66 ± 0.00,6
deit_tiny,Wanda,70%,20,—,0.143 ± 0.000,1.000 ± 0.000,0.66 ± 0.00,6
deit_tiny,X-Pruner,50%,5,—,0.800 ± 0.013,0.778 ± 0.051,0.98 ± 0.06,6
deit_tiny,X-Pruner,50%,10,—,0.800 ± 0.013,0.778 ± 0.051,0.98 ± 0.06,6
deit_tiny,X-Pruner,50%,20,—,0.800 ± 0.013,0.778 ± 0.051,0.98 ± 0.06,6
deit_tiny,X-Pruner,70%,5,—,0.404 ± 0.008,0.608 ± 0.100,1.01 ± 0.00,6
deit_tiny,X-Pruner,70%,10,—,0.404 ± 0.008,0.608 ± 0.100,1.01 ± 0.00,6
deit_tiny,X-Pruner,70%,20,—,0.404 ± 0.008,0.608 ± 0.100,1.01 ± 0.00,6
