Model,Criterion,Sparsity,Balanced Acc,Mel Sens,Mel AUROC,Macro AUROC,ECE,DCR,Spec@90Sens,n
deit_tiny,Magnitude,50%,0.758 ± 0.038,0.518 ± 0.048,0.895 ± 0.014,0.960 ± 0.006,0.049 ± 0.005,3.83 ± 1.66,0.695 ± 0.044,20
deit_tiny,Magnitude,60%,0.487 ± 0.000,0.166 ± 0.035,0.823 ± 0.028,0.893 ± 0.002,0.093 ± 0.001,1.39 ± 0.03,0.557 ± 0.058,16
deit_tiny,Magnitude,70%,0.263 ± 0.019,0.018 ± 0.004,0.698 ± 0.026,0.796 ± 0.009,0.217 ± 0.006,0.89 ± 0.05,0.275 ± 0.025,20
deit_tiny,Wanda,20%,0.893 ± 0.004,0.853 ± 0.009,0.950 ± 0.003,0.983 ± 0.000,0.021 ± 0.003,0.36 ± 0.13,0.853 ± 0.004,16
deit_tiny,Wanda,30%,0.831 ± 0.071,0.880 ± 0.067,0.942 ± 0.025,0.976 ± 0.014,0.029 ± 0.007,0.16 ± 0.10,0.829 ± 0.080,4
deit_tiny,Wanda,40%,0.747 ± 0.016,0.835 ± 0.014,0.880 ± 0.012,0.951 ± 0.002,0.040 ± 0.004,1.08 ± 0.17,0.668 ± 0.052,16
deit_tiny,Wanda,50%,0.338 ± 0.010,0.934 ± 0.019,0.799 ± 0.024,0.823 ± 0.010,0.118 ± 0.006,0.63 ± 0.06,0.558 ± 0.045,20
deit_tiny,Wanda,60%,0.158 ± 0.017,0.993 ± 0.011,0.614 ± 0.034,0.684 ± 0.008,0.153 ± 0.021,0.69 ± 0.03,0.198 ± 0.039,16
deit_tiny,Wanda,70%,0.143 ± 0.000,1.000 ± 0.000,0.574 ± 0.027,0.664 ± 0.009,0.143 ± 0.008,0.66 ± 0.03,0.258 ± 0.043,20
deit_tiny,Taylor,20%,0.898 ± 0.004,0.881 ± 0.014,0.946 ± 0.007,0.982 ± 0.001,0.039 ± 0.005,0.98 ± 0.43,0.840 ± 0.015,16
deit_tiny,Taylor,30%,0.816 ± 0.085,0.899 ± 0.038,0.933 ± 0.018,0.972 ± 0.012,0.048 ± 0.014,0.81 ± 0.53,0.803 ± 0.046,4
deit_tiny,Taylor,40%,0.792 ± 0.013,0.823 ± 0.045,0.911 ± 0.014,0.968 ± 0.001,0.038 ± 0.003,1.04 ± 0.17,0.735 ± 0.042,16
deit_tiny,Taylor,50%,0.585 ± 0.016,0.814 ± 0.121,0.868 ± 0.027,0.942 ± 0.007,0.039 ± 0.010,0.99 ± 0.18,0.630 ± 0.053,20
deit_tiny,Taylor,60%,0.441 ± 0.005,0.794 ± 0.154,0.811 ± 0.051,0.904 ± 0.008,0.120 ± 0.024,0.64 ± 0.19,0.535 ± 0.105,16
deit_tiny,Taylor,70%,0.263 ± 0.015,0.417 ± 0.158,0.778 ± 0.028,0.771 ± 0.014,0.070 ± 0.012,0.97 ± 0.19,0.459 ± 0.055,20
deit_tiny,Random,20%,0.311 ± 0.028,0.211 ± 0.008,0.780 ± 0.043,0.808 ± 0.003,0.151 ± 0.039,1.27 ± 0.05,0.492 ± 0.070,16
deit_tiny,Random,30%,0.179 ± 0.024,0.318 ± 0.346,0.638 ± 0.029,0.695 ± 0.049,0.278 ± 0.072,0.95 ± 0.46,0.180 ± 0.052,4
deit_tiny,Random,40%,0.164 ± 0.017,0.750 ± 0.224,0.657 ± 0.135,0.628 ± 0.011,0.146 ± 0.021,0.87 ± 0.19,0.340 ± 0.218,16
deit_tiny,Random,50%,0.140 ± 0.006,0.964 ± 0.089,0.482 ± 0.080,0.540 ± 0.025,0.148 ± 0.038,0.67 ± 0.05,0.168 ± 0.077,20
deit_tiny,Random,60%,0.143 ± 0.000,1.000 ± 0.000,0.398 ± 0.002,0.519 ± 0.041,0.164 ± 0.005,0.66 ± 0.00,0.124 ± 0.030,16
deit_tiny,Random,70%,0.144 ± 0.004,0.996 ± 0.019,0.420 ± 0.107,0.527 ± 0.030,0.149 ± 0.029,0.66 ± 0.01,0.138 ± 0.089,20
